FORKED VERSION RUN START

Spawning 80 sequential threads, each calling Reference::from_str() once.
Each thread represents one 'Subagent runtime' cycle (old thread exits, new spawned).

 cycle      rss (KB)  thread_id
     0          2208  ThreadId(2)
     1          2352  ThreadId(3)
     2          2352  ThreadId(4)
     3          2352  ThreadId(5)
     4          2352  ThreadId(6)
     5          1920  ThreadId(7)
     6          1920  ThreadId(8)
     7          1920  ThreadId(9)
     8          1936  ThreadId(10)
     9          1936  ThreadId(11)
    10          1936  ThreadId(12)
    11          1952  ThreadId(13)
    12          1952  ThreadId(14)
    13          1984  ThreadId(15)
    14          1984  ThreadId(16)
    15          2000  ThreadId(17)
    16          2000  ThreadId(18)
    17          2000  ThreadId(19)
    18          2000  ThreadId(20)
    19          2000  ThreadId(21)
    20          2000  ThreadId(22)
    21          2016  ThreadId(23)
    22          2016  ThreadId(24)
    23          2016  ThreadId(25)
    24          2016  ThreadId(26)
    25          2048  ThreadId(27)
    26          2048  ThreadId(28)
    27          2048  ThreadId(29)
    28          2064  ThreadId(30)
    29          2064  ThreadId(31)
    30          2064  ThreadId(32)
    31          2080  ThreadId(33)
    32          2112  ThreadId(34)
    33          2112  ThreadId(35)
    34          2112  ThreadId(36)
    35          2112  ThreadId(37)
    36          2112  ThreadId(38)
    37          2112  ThreadId(39)
    38          2112  ThreadId(40)
    39          2128  ThreadId(41)
    40          2128  ThreadId(42)
    41          2128  ThreadId(43)
    42          2128  ThreadId(44)
    43          2128  ThreadId(45)
    44          2128  ThreadId(46)
    45          2128  ThreadId(47)
    46          2128  ThreadId(48)
    47          2128  ThreadId(49)
    48          2128  ThreadId(50)
    49          2128  ThreadId(51)
    50          2128  ThreadId(52)
    51          2128  ThreadId(53)
    52          2128  ThreadId(54)
    53          2128  ThreadId(55)
    54          2128  ThreadId(56)
    55          2128  ThreadId(57)
    56          2128  ThreadId(58)
    57          2128  ThreadId(59)
    58          2128  ThreadId(60)
    59          2128  ThreadId(61)
    60          2128  ThreadId(62)
    61          2128  ThreadId(63)
    62          2128  ThreadId(64)
    63          2128  ThreadId(65)
    64          2128  ThreadId(66)
    65          2128  ThreadId(67)
    66          2128  ThreadId(68)
    67          2128  ThreadId(69)
    68          2128  ThreadId(70)
    69          2128  ThreadId(71)
    70          2128  ThreadId(72)
    71          2128  ThreadId(73)
    72          2128  ThreadId(74)
    73          2128  ThreadId(75)
    74          2128  ThreadId(76)
    75          2128  ThreadId(77)
    76          2128  ThreadId(78)
    77          2128  ThreadId(79)
    78          2128  ThreadId(80)
    79          2128  ThreadId(81)

FORKED VERSION Done.
