RUN START

Spawning 80 sequential threads, each calling Reference::from_str() once.
Each thread represents one 'Subagent runtime' cycle (old thread exits, new spawned).

 cycle      rss (KB)  thread_id
     0         29440  ThreadId(2)
     1         29472  ThreadId(3)
     2         34640  ThreadId(4)
     3         34656  ThreadId(5)
     4         39808  ThreadId(6)
     5         39808  ThreadId(7)
     6         45152  ThreadId(8)
     7         45344  ThreadId(9)
     8         50816  ThreadId(10)
     9         50832  ThreadId(11)
    10         50832  ThreadId(12)
    11         50832  ThreadId(13)
    12         50848  ThreadId(14)
    13         50848  ThreadId(15)
    14         50848  ThreadId(16)
    15         50848  ThreadId(17)
    16         50848  ThreadId(18)
    17         50848  ThreadId(19)
    18         50848  ThreadId(20)
    19         50848  ThreadId(21)
    20         50848  ThreadId(22)
    21         50848  ThreadId(23)
    22         50848  ThreadId(24)
    23         50848  ThreadId(25)
    24         50848  ThreadId(26)
    25         50864  ThreadId(27)
    26         50864  ThreadId(28)
    27         50864  ThreadId(29)
    28         50864  ThreadId(30)
    29         50880  ThreadId(31)
    30         50880  ThreadId(32)
    31         50880  ThreadId(33)
    32         50880  ThreadId(34)
    33         50880  ThreadId(35)
    34         50880  ThreadId(36)
    35         50880  ThreadId(37)
    36         50896  ThreadId(38)
    37         50896  ThreadId(39)
    38         50896  ThreadId(40)
    39         50896  ThreadId(41)
    40         50896  ThreadId(42)
    41         50896  ThreadId(43)
    42         50912  ThreadId(44)
    43         50912  ThreadId(45)
    44         50912  ThreadId(46)
    45         50912  ThreadId(47)
    46         50912  ThreadId(48)
    47         50912  ThreadId(49)
    48         50912  ThreadId(50)
    49         50912  ThreadId(51)
    50         50912  ThreadId(52)
    51         50912  ThreadId(53)
    52         50912  ThreadId(54)
    53         50912  ThreadId(55)
    54         50912  ThreadId(56)
    55         50912  ThreadId(57)
    56         50912  ThreadId(58)
    57         50912  ThreadId(59)
    58         50912  ThreadId(60)
    59         50912  ThreadId(61)
    60         50912  ThreadId(62)
    61         50912  ThreadId(63)
    62         50912  ThreadId(64)
    63         50912  ThreadId(65)
    64         50912  ThreadId(66)
    65         50912  ThreadId(67)
    66         50912  ThreadId(68)
    67         50912  ThreadId(69)
    68         50912  ThreadId(70)
    69         50912  ThreadId(71)
    70         50912  ThreadId(72)
    71         50912  ThreadId(73)
    72         50912  ThreadId(74)
    73         50912  ThreadId(75)
    74         50912  ThreadId(76)
    75         50912  ThreadId(77)
    76         50912  ThreadId(78)
    77         50912  ThreadId(79)
    78         50912  ThreadId(80)
    79         50912  ThreadId(81)

Done.
