FORKED VERSION RUN START

Spawning 80 sequential threads, each calling Reference::from_str() once.
Each thread represents one 'Subagent runtime' cycle (old thread exits, new spawned).

 cycle      rss (KB)  thread_id
     0           512  ThreadId(2)
     1           512  ThreadId(3)
     2           512  ThreadId(4)
     3           512  ThreadId(5)
     4           512  ThreadId(6)
     5           512  ThreadId(7)
     6           512  ThreadId(8)
     7           512  ThreadId(9)
     8           512  ThreadId(10)
     9           512  ThreadId(11)
    10           512  ThreadId(12)
    11           512  ThreadId(13)
    12           512  ThreadId(14)
    13           512  ThreadId(15)
    14           512  ThreadId(16)
    15           512  ThreadId(17)
    16           512  ThreadId(18)
    17           512  ThreadId(19)
    18           512  ThreadId(20)
    19           512  ThreadId(21)
    20           512  ThreadId(22)
    21           512  ThreadId(23)
    22           512  ThreadId(24)
    23           512  ThreadId(25)
    24           512  ThreadId(26)
    25           512  ThreadId(27)
    26           512  ThreadId(28)
    27           512  ThreadId(29)
    28           512  ThreadId(30)
    29           512  ThreadId(31)
    30           512  ThreadId(32)
    31           512  ThreadId(33)
    32           512  ThreadId(34)
    33           512  ThreadId(35)
    34           512  ThreadId(36)
    35           512  ThreadId(37)
    36           512  ThreadId(38)
    37           512  ThreadId(39)
    38           512  ThreadId(40)
    39           512  ThreadId(41)
    40           512  ThreadId(42)
    41           512  ThreadId(43)
    42           512  ThreadId(44)
    43           512  ThreadId(45)
    44           512  ThreadId(46)
    45           512  ThreadId(47)
    46           512  ThreadId(48)
    47           512  ThreadId(49)
    48           512  ThreadId(50)
    49           512  ThreadId(51)
    50           512  ThreadId(52)
    51           512  ThreadId(53)
    52           512  ThreadId(54)
    53           512  ThreadId(55)
    54           512  ThreadId(56)
    55           512  ThreadId(57)
    56           512  ThreadId(58)
    57           512  ThreadId(59)
    58           512  ThreadId(60)
    59           512  ThreadId(61)
    60           512  ThreadId(62)
    61           512  ThreadId(63)
    62           512  ThreadId(64)
    63           512  ThreadId(65)
    64           512  ThreadId(66)
    65           512  ThreadId(67)
    66           512  ThreadId(68)
    67           512  ThreadId(69)
    68           512  ThreadId(70)
    69           512  ThreadId(71)
    70           512  ThreadId(72)
    71           512  ThreadId(73)
    72           512  ThreadId(74)
    73           512  ThreadId(75)
    74           512  ThreadId(76)
    75           512  ThreadId(77)
    76           512  ThreadId(78)
    77           512  ThreadId(79)
    78           512  ThreadId(80)
    79           512  ThreadId(81)

FORKED VERSION Done.
