RUN START

Spawning 80 sequential threads, each calling Reference::from_str() once.
Each thread represents one 'Subagent runtime' cycle (old thread exits, new spawned).

 cycle      rss (KB)  thread_id
     0         15092  ThreadId(2)
     1         15220  ThreadId(3)
     2         20980  ThreadId(4)
     3         21236  ThreadId(5)
     4         26868  ThreadId(6)
     5         27124  ThreadId(7)
     6         32884  ThreadId(8)
     7         33140  ThreadId(9)
     8         38900  ThreadId(10)
     9         38900  ThreadId(11)
    10         38900  ThreadId(12)
    11         38900  ThreadId(13)
    12         38900  ThreadId(14)
    13         38900  ThreadId(15)
    14         38900  ThreadId(16)
    15         38900  ThreadId(17)
    16         38900  ThreadId(18)
    17         38900  ThreadId(19)
    18         38900  ThreadId(20)
    19         38900  ThreadId(21)
    20         38900  ThreadId(22)
    21         38900  ThreadId(23)
    22         38900  ThreadId(24)
    23         38900  ThreadId(25)
    24         38900  ThreadId(26)
    25         38900  ThreadId(27)
    26         38900  ThreadId(28)
    27         38900  ThreadId(29)
    28         38900  ThreadId(30)
    29         38900  ThreadId(31)
    30         38900  ThreadId(32)
    31         38900  ThreadId(33)
    32         38900  ThreadId(34)
    33         38900  ThreadId(35)
    34         38900  ThreadId(36)
    35         38900  ThreadId(37)
    36         38900  ThreadId(38)
    37         38900  ThreadId(39)
    38         38900  ThreadId(40)
    39         38900  ThreadId(41)
    40         38900  ThreadId(42)
    41         38900  ThreadId(43)
    42         38900  ThreadId(44)
    43         38900  ThreadId(45)
    44         38900  ThreadId(46)
    45         38900  ThreadId(47)
    46         38900  ThreadId(48)
    47         38900  ThreadId(49)
    48         38900  ThreadId(50)
    49         38900  ThreadId(51)
    50         38900  ThreadId(52)
    51         38900  ThreadId(53)
    52         38900  ThreadId(54)
    53         38900  ThreadId(55)
    54         38900  ThreadId(56)
    55         38900  ThreadId(57)
    56         38900  ThreadId(58)
    57         38900  ThreadId(59)
    58         38900  ThreadId(60)
    59         38900  ThreadId(61)
    60         38900  ThreadId(62)
    61         38900  ThreadId(63)
    62         38900  ThreadId(64)
    63         38900  ThreadId(65)
    64         38900  ThreadId(66)
    65         38900  ThreadId(67)
    66         38900  ThreadId(68)
    67         38900  ThreadId(69)
    68         38900  ThreadId(70)
    69         38900  ThreadId(71)
    70         38900  ThreadId(72)
    71         38900  ThreadId(73)
    72         38900  ThreadId(74)
    73         38900  ThreadId(75)
    74         38900  ThreadId(76)
    75         38900  ThreadId(77)
    76         38900  ThreadId(78)
    77         38900  ThreadId(79)
    78         38900  ThreadId(80)
    79         38900  ThreadId(81)

Done.
